Constituency,Candidate,Party,Votes,Assembly Constituencies,Margin
BARFUNG,RIKSHAL DORJEE BHUTIA,Sikkim Krantikari Morcha,31,Sikkm,4346
CHUJACHEN,PURAN KR. GURUNG,Sikkim Krantikari Morcha,31,Sikkm,3334
DARAMDIN,MINGMA NORBU SHERPA,Sikkim Krantikari Morcha,31,Sikkm,5975
DJONGU,PINTSO NAMGYAL LEPCHA,Sikkim Krantikari Morcha,31,Sikkm,5007
GANGTOK,DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari Morcha,31,Sikkm,2692
GNATHANG-MACHONG,PAMIN LEPCHA,Sikkim Krantikari Morcha,31,Sikkm,3807
GYALSHING-BARNYAK,LOK NATH SHARMA,Sikkim Krantikari Morcha,31,Sikkm,963
KABI LUNGCHUK,THENLAY TSHERING BHUTIA,Sikkim Krantikari Morcha,31,Sikkm,1693
KHAMDONG-SINGTAM,NAR BAHADUR DAHAL,Sikkim Krantikari Morcha,31,Sikkm,1739
LACHEN MANGAN,SAMDUP LEPCHA,Sikkim Krantikari Morcha,31,Sikkm,851
MANEYBONG-DENTAM,SUDESH KUMAR SUBBA,Sikkim Krantikari Morcha,31,Sikkm,6039
MARTAM-RUMTEK,SONAM TSH. VENCHUNGPA,Sikkim Krantikari Morcha,31,Sikkm,2762
MELLI,NAR BAHADUR PRADHAN,Sikkim Krantikari Morcha,31,Sikkm,4283
NAMCHEYBUNG,RAJU BASNET,Sikkim Krantikari Morcha,31,Sikkm,2256
NAMCHI-SINGHITHANG,KRISHNA KUMARI RAI,Sikkim Krantikari Morcha,31,Sikkm,5302
NAMTHANG-RATEYPANI,SANJEET KHAREL,Sikkim Krantikari Morcha,31,Sikkm,5605
POKLOK-KAMRANG,BHOJ RAJ RAI,Sikkim Krantikari Morcha,31,Sikkm,3063
RANGANG-YANGANG,RAJ KUMARI THAPA,Sikkim Krantikari Morcha,31,Sikkm,1201
RHENOCK,P S TAMANG,Sikkim Krantikari Morcha,31,Sikkm,7044
RINCHENPONG,ERUNG TENZING LEPCHA,Sikkim Krantikari Morcha,31,Sikkm,6400
SALGHARI-ZOOM,MADAN CINTURY,Sikkim Krantikari Morcha,31,Sikkm,2712
SANGHA,SONAM LAMA,Sikkim Krantikari Morcha,31,Sikkm,865
SHYARI,TENZING NORBU LAMTHA,Sikkim Democratic Front,1,Sikkm,1314
SORENG-CHAKUNG,P S TAMANG,Sikkim Krantikari Morcha,31,Sikkm,7396
TEMI-NAMPHING,BEDU SINGH PANTH,Sikkim Krantikari Morcha,31,Sikkm,3558
TUMEN-LINGI,SAMDUP TSHERING BHUTIA,Sikkim Krantikari Morcha,31,Sikkm,4088
UPPER BURTUK,KALA RAI,Sikkim Krantikari Morcha,31,Sikkm,2568
UPPER TADONG,G.T. DHUNGEL,Sikkim Krantikari Morcha,31,Sikkm,4089
WEST PENDAM,LALL BAHADUR DAS,Sikkim Krantikari Morcha,31,Sikkm,1952
YANGTHANG,BHIM HANG LIMBOO,Sikkim Krantikari Morcha,31,Sikkm,2556
YUKSOM TASHIDING,TSHERING THENDUP BHUTIA,Sikkim Krantikari Morcha,31,Sikkm,4812
